"","level","total_pp","total_reef_pp","total_not_reef_pp","total_pppb","reef_pppb","not_reef_pppb","param","fish"
"sens_vec_g",0.9,-0.256566950632187,2.30221163199,-1.42327410419572,0.734240510052331,3.33228905073557,-0.450059443073902,"movement","G"
"sens_vec_s",0.9,0.0655633918270615,2.95840804175227,-0.584549076555452,-0.0897756679822725,2.7981409227992,-0.738745119322448,"movement","S"
"sens_vec_g1",0.95,-0.175065568356014,1.10463667128753,-0.758561837850869,0.451927300989685,1.74521745181757,-0.137608822381319,"movement","G"
"sens_vec_s1",0.95,-0.00620835608650117,1.34085416927949,-0.308935342637251,0.18860522789057,1.53726899465982,-0.114465015743348,"movement","S"
"sens_vec_g2",1.05,-0.408723720308812,-2.43894601923978,0.516981573448794,0.517754618298349,-1.52255619527505,1.44781422382154,"movement","G"
"sens_vec_s2",1.05,-0.0425988251069764,-1.65500532467235,0.31975923290195,0.0661877652730292,-1.54600442680158,0.428477827834173,"movement","S"
"sens_vec_g3",1.1,-0.161210965274394,-3.55946871319042,1.38826723149996,-0.00197912288090185,-3.4228783297225,1.55741082186844,"movement","G"
"sens_vec_s3",1.1,-0.0430882840053659,-3.17995325707957,0.661863166007914,-0.122913900394961,-3.2562943825527,0.581215927605272,"movement","S"
"sens_vec_g4",0.9,0.0193005913323718,0.0595689505657138,0.000939728419546704,-0.0478346597749479,-0.00141521533448818,-0.068994597710692,"bgvmax","G"
"sens_vec_s4",0.9,0.0426705537271754,0.196489189863347,0.00810270604676422,-0.320500767242093,-0.16494934081086,-0.355456113316999,"bgvmax","S"
"sens_vec_g5",0.95,0.0809293399352207,0.17652020990282,0.0373434851199672,-0.149888225488948,-0.0433595170018841,-0.198448497744141,"bgvmax","G"
"sens_vec_s5",0.95,0.00932940945661542,0.0435174913305802,0.00164628056926741,-0.0549173554783122,-0.0194497867056054,-0.0628875886631075,"bgvmax","S"
"sens_vec_g6",1.05,-0.213429843915058,-0.467492765682131,-0.0975866715929086,0.340030811563663,0.0939908941636425,0.452186168971802,"bgvmax","G"
"sens_vec_s6",1.05,0.0380123744843086,0.164894135212323,0.00949808331358604,-0.189628695319666,-0.0616261566879994,-0.218393285519791,"bgvmax","S"
"sens_vec_g7",1.1,0.0913281957056089,0.191909454298123,0.0454669106724648,-0.162166269379005,-0.0560497972911911,-0.210538626920254,"bgvmax","G"
"sens_vec_s7",1.1,-0.0283442055531768,-0.128111387832952,-0.00592340631075938,0.194062590791977,0.0953555230788661,0.216243934872917,"bgvmax","S"
"sens_vec_g8",0.9,-0.325162519879063,-0.696695349258725,-0.155757471405993,0.546487898313042,0.167763225397066,0.719126555889571,"bgkm","G"
"sens_vec_s8",0.9,-0.0109968021574369,-0.0438158434507563,-0.00362133941156362,0.0809581226780542,0.0498266375655865,0.0879539558947373,"bgkm","S"
"sens_vec_g9",0.95,-0.541729136870328,-1.17609772874563,-0.252480829430435,0.908587205304467,0.270141485881537,1.1996176551772,"bgkm","G"
"sens_vec_s9",0.95,-0.0724590821532756,-0.32256450856587,-0.0162525879244702,0.357667299191555,0.107089960115281,0.413976764214796,"bgkm","S"
"sens_vec_g10",1.05,-0.0793998949621955,-0.170139828227189,-0.0380258855136373,0.124070039501123,0.0421594260614055,0.161408347134051,"bgkm","G"
"sens_vec_s10",1.05,-0.00457567350171662,-0.0154454592518616,-0.00213289343574674,0.0359935166114989,0.0261000830933167,0.0382167581492565,"bgkm","S"
"sens_vec_g11",1.1,0.373228375007573,0.803346844809116,0.177110469767383,-0.60606393294047,-0.18404716009558,-0.798436953102466,"bgkm","G"
"sens_vec_s11",1.1,0.0347847021100911,0.146078012081885,0.00977362228522516,-0.178572173196068,-0.0679885780774936,-0.203422397499775,"bgkm","S"
"sens_vec_g12",0.9,2.21668464237148,-0.0475268160359144,3.24908022503159,3.13692146812667,0.854011484041428,4.17756799370415,"bggamma","G"
"sens_vec_s12",0.9,2.71352133534242,1.82053756181053,2.91420265614937,2.26106999616498,1.37336522896452,2.46055403859238,"bggamma","S"
"sens_vec_g13",0.95,0.927113862456386,-0.355152432808592,1.5117792452368,1.78577749156661,0.495072755183501,2.37413507413757,"bggamma","G"
"sens_vec_s13",0.95,1.24299570308724,0.513948505246975,1.40683535945023,1.67974126040606,0.949048453277412,1.84394174723945,"bggamma","S"
"sens_vec_g14",1.05,-1.46691799227202,-1.16057351901229,-1.60659959303037,-0.483786892129701,-0.167067216438166,-0.628161060357102,"bggamma","G"
"sens_vec_s14",1.05,-1.08598855869755,-0.711934093252053,-1.17005027001227,-1.09297777485927,-0.72113164084644,-1.17653863057912,"bggamma","S"
"sens_vec_g15",1.1,-2.3248334813553,-1.02811400481655,-2.91608897322069,-1.89975239290382,-0.585214669520517,-2.49897405478086,"bggamma","G"
"sens_vec_s15",1.1,-2.17485734784919,-1.49517004966779,-2.32760429440934,-2.08742101016477,-1.40871336075179,-2.23993944932812,"bggamma","S"
"sens_vec_g16",0.9,-0.176686245544511,-0.409006722854965,-0.0707568131824599,0.308134146676653,0.0723549275707391,0.415612245627717,"agvmax","G"
"sens_vec_s16",0.9,-0.0836534043572867,-0.369604944126545,-0.0193911698256222,0.509811327737997,0.223839751718624,0.57407454689764,"agvmax","S"
"sens_vec_g17",0.95,-0.402624945011765,-0.88750808522241,-0.181536402154581,0.686943655715844,0.188687899644657,0.914069615573743,"agvmax","G"
"sens_vec_s17",0.95,0.0438488360591904,0.192351212132325,0.0104757179167914,-0.241036716444221,-0.0929418020170991,-0.274316443313327,"agvmax","S"
"sens_vec_g18",1.05,-0.266173057126207,-0.549263267499012,-0.137094528882742,0.43831015843907,0.150851079859682,0.569346114063585,"agvmax","G"
"sens_vec_s18",1.05,-0.0701527800446966,-0.309559285707295,-0.0163506671842062,0.407729963076187,0.168628684803029,0.461460540292635,"agvmax","S"
"sens_vec_g19",1.1,-0.297878000978358,-0.657547653118828,-0.133882116800688,0.517681067888187,0.145494864478413,0.68733921566726,"agvmax","G"
"sens_vec_s19",1.1,-0.0111349746141021,-0.0519669495610775,-0.00195875562066794,0.0906184509659846,0.0511964454041891,0.0994773208522703,"agvmax","S"
"sens_vec_g20",0.9,0.0908453616282889,0.22015087133207,0.0318868944161776,-0.16768707593503,-0.0306681981721346,-0.23014605157422,"agkm","G"
"sens_vec_s20",0.9,0.0727508073079974,0.308718729395863,0.0197214514828792,-0.46843971995304,-0.241216060418226,-0.519501171703585,"agkm","S"
"sens_vec_g21",0.95,0.182227317824868,0.407198909827522,0.0796487017927339,-0.272011819753659,-0.0688923975964872,-0.364602207643983,"agkm","G"
"sens_vec_s21",0.95,-0.0918678987204546,-0.41608182389925,-0.0190069121522973,0.562227674072724,0.234487005609973,0.635877197910473,"agkm","S"
