"","timestep","total_ag_production","total_bg_production","total_excretion","total_pp","reef_ag_production","reef_bg_production","total_reef_pp","not_reef_ag_production","not_reef_bg_production","total_not_reef_pp","total_fish_biomass","n_indiv","gs_ratio","replicate_num","temperature","swap","total_pppb","reef_pppb","not_reef_pppb","starvation_deaths","natural_deaths","id","behavior"
"1",87600,0.178192021411758,0.400305040765211,21766.0384910174,0.57849706217697,1.96802671492559,0.836935379303135,2.80496209422873,0.118999472639081,0.38586501303349,0.504864485672571,21171.1795436593,20,1,1,18,FALSE,2.73247440457435e-05,0.000132489646523677,2.38467811692512e-05,0,0,"G","F"
"2",87600,0.176768221049317,0.399567694322753,21314.5614244437,0.576335915372071,1.92832273165063,0.82759734119602,2.75592007284665,0.118841656002561,0.385412104512972,0.504253760515533,20634.4272933603,20,1,2,18,FALSE,2.79307929015081e-05,0.000133559319755555,2.44374972635074e-05,0,0,"G","F"
"3",87600,0.177201270222105,0.399787288464604,21432.7016424032,0.576988558686709,1.93780565043629,0.83048554560363,2.76829119603992,0.118975412257188,0.385543443664636,0.504518855921824,20795.3017481388,20,1,3,18,FALSE,2.77461017721635e-05,0.000133120991922499,2.4261194284761e-05,0,0,"G","F"
"4",87600,0.178422670636205,0.400488935625757,21848.9375168547,0.578911606261962,1.97436766299659,0.838815251733167,2.81318291472976,0.119028045010397,0.38599281934275,0.505020864353147,21275.0800656076,20,1,4,18,FALSE,2.72107839066518e-05,0.000132229016579704,2.37376716231279e-05,0,0,"G","F"
"5",87600,0.178885503779109,0.400750170135172,22009.5852011889,0.579635673914281,1.98936513335607,0.841707708708215,2.83107284206428,0.119010195649238,0.386167035333253,0.505177230982491,21456.770027436,20,1,5,18,FALSE,2.70141159724004e-05,0.000131943104131903,2.35439551403375e-05,0,0,"G","F"
"6",87600,0.178707664668082,0.400748009951115,22015.1501462502,0.579455674619197,1.98927100949289,0.841358786719569,2.83062979621246,0.118829587947956,0.386176343088165,0.505005931036121,21422.0234498644,20,1,6,18,FALSE,2.70495304038548e-05,0.000132136434395994,2.35741470556236e-05,0,0,"G","F"
"7",87600,0.177781059188257,0.400172856320793,21656.6486762842,0.57795391550905,1.95686717167951,0.834750597338009,2.79161776901752,0.118943982297269,0.385800711103192,0.504744693400461,21038.9078081943,20,1,7,18,FALSE,2.74707185742763e-05,0.000132688340785933,2.39910121762058e-05,0,0,"G","F"
"8",87600,0.178407137919247,0.400511125353485,21866.281758195,0.578918263272731,1.97644279952515,0.838818789021822,2.81526158854697,0.118943370689618,0.386015625934937,0.504958996624555,21278.8429118964,20,1,8,18,FALSE,2.72062849314553e-05,0.00013230332120047,2.37305664934556e-05,0,0,"G","F"
"9",87600,0.177484646097814,0.400020070917985,21596.3417349589,0.577504717015798,1.95091415286086,0.833010991002773,2.78392514386363,0.11883464174021,0.385700404276073,0.504535046016284,20937.1500998006,20,1,9,18,FALSE,2.7582775796277e-05,0.000132965811038922,2.40975989383144e-05,0,0,"G","F"
"10",87600,0.178675696690105,0.400704732667307,21940.633642398,0.579380429357412,1.98249584133318,0.840554793866449,2.82305063519963,0.119020627830474,0.386158223822358,0.505178851652832,21385.3154420778,20,1,10,18,FALSE,2.7092442518637e-05,0.000132008837692663,2.36226981557093e-05,0,0,"G","F"
"11",87600,0.176190861678739,0.399269531835846,21125.3810016516,0.575460393514585,1.90998100966964,0.823622424666643,2.73360343433628,0.118851791054815,0.385235537860458,0.504087328915273,20411.5920323009,20,1,11,18,FALSE,2.81928226178503e-05,0.000133924067755735,2.46961299303634e-05,0,0,"G","F"
"12",87600,0.177456101033139,0.39993570654601,21508.8025500528,0.577391807579149,1.94479277738531,0.832017783796389,2.7768105611817,0.119007595820997,0.385646096715489,0.504653692536485,20889.2681851694,20,1,12,18,FALSE,2.76405952789229e-05,0.000132930006765537,2.4158514700614e-05,0,0,"G","F"
"13",87600,0.177494456553649,0.399973534103503,21568.6773634365,0.577467990657151,1.95021927732998,0.832588282043484,2.78280755937346,0.118867757230744,0.385666308045132,0.504534065275876,20923.7396356212,20,1,13,18,FALSE,2.75986989282763e-05,0.00013299761934697,2.41129967234415e-05,0,0,"G","F"
"14",87600,0.179253164704958,0.400968534831413,22143.0842228773,0.580221699536371,2.00117220602282,0.844440609256218,2.84561281527904,0.118999537873446,0.386302240513933,0.505301778387379,21607.8101345018,20,1,14,18,FALSE,2.68524064180809e-05,0.000131693716187156,2.33851452434112e-05,0,0,"G","F"
"15",87600,0.176951187989861,0.399707215706994,21367.5633641098,0.576658403696855,1.93130046863143,0.828992251335547,2.76029271996698,0.118932195657771,0.385510108286455,0.504442303944226,20709.592017446,20,1,15,18,FALSE,2.78449910172576e-05,0.000133285712129996,2.43579064000525e-05,0,0,"G","F"
"16",87600,0.180212373316812,0.401440323063631,22429.2015399991,0.581652696380443,2.02675013788468,0.850082113060997,2.87683225094568,0.119144567956981,0.386603058408902,0.505747626365884,21962.8141172738,20,1,16,18,FALSE,2.6483523162133e-05,0.000130986504533726,2.30274510208649e-05,0,0,"G","F"
"17",87600,0.174339622198791,0.398170064924573,20509.2687984767,0.572509687123364,1.85574213138989,0.810172835147606,2.6659149665375,0.118733090270189,0.384544508240884,0.503277598511073,19679.6531491427,20,1,17,18,FALSE,2.90914521096783e-05,0.000135465546386098,2.55734994258777e-05,0,0,"G","F"
