"","timestep","total_ag_production","total_bg_production","total_excretion","total_pp","reef_ag_production","reef_bg_production","total_reef_pp","not_reef_ag_production","not_reef_bg_production","total_not_reef_pp","total_fish_biomass","n_indiv","gs_ratio","temperature","total_pppb","reef_pppb","not_reef_pppb","starvation_deaths","natural_deaths","ag_gamma","resp_slope","resp_temp_opt","resp_temp_max","resp_int","resp_temp_low","seagrass_slough"
"1",87600,0.294758780764436,0.290272874888409,72231.6160392854,0.585031655652845,6.9909720977766,1.01035492534731,8.00132702312391,0.0733048471716402,0.266458669003038,0.339763516174679,42184.2286319684,40,1,26,1.38684924348597e-05,0.000189675793124739,8.05427827397078e-06,0,0,0.0127103030577227,-0.202737007456426,36.1610614270086,42.9334709227731,0.0110867223144596,2.26477033621702,0.000984955555519498
"2",87600,0.242957825334622,0.31280648712859,61494.5997858181,0.555764312463212,5.82872044746199,1.09081934883777,6.91953979629975,0.0582281809484333,0.287076421425104,0.345304602373537,44315.8334575219,40,1,26,1.25409874778939e-05,0.000156141479386422,7.79190134615255e-06,0,0,0.0131641075707974,-0.213576995412851,36.9852978356987,42.6981473943279,0.0104173750689457,2.24241757234188,0.00108045903873212
"3",87600,0.314999812988421,0.290798630088165,90483.7254808089,0.605798443076586,7.27986822356209,0.980190133305779,8.26005835686787,0.0846610478598998,0.267999407162407,0.352660455022307,42673.4330414893,40,1,26,1.41961496860962e-05,0.000193564420955704,8.26416882558831e-06,0,0,0.0149771445461585,-0.204247795652693,35.0568455666693,42.972402006711,0.0116472023122502,2.06241491654614,0.000926346253823849
"4",87600,0.321892438233871,0.282143948071874,79423.8456371329,0.604036386305745,7.59189911993887,0.987081863133816,8.57898098307269,0.0814622875367234,0.258830581720094,0.340292869256817,43240.9273329957,40,1,26,1.39690895538409e-05,0.00019839956060624,7.86969406637011e-06,0,0,0.0128233392409733,-0.20236304229497,34.2138792218818,42.3028955180642,0.0100508179575358,2.26192282150809,0.00094166579684952
"5",87600,0.294820547936285,0.328985100734384,84737.6525607142,0.623805648670668,6.86806571183855,1.12839452425753,7.99646023609607,0.0774333577286862,0.30254741826979,0.379980775998476,42252.445572068,40,1,26,1.47637761607591e-05,0.000189254376352178,8.9931072829941e-06,0,0,0.0148239842831324,-0.209120074878447,34.9759484653346,42.4537026359713,0.0113307982501631,2.05270960112348,0.00109344092387646
"6",87600,0.414017286409854,0.278216919266895,100671.204250468,0.692234205676749,9.56120264472964,0.975912870637955,10.5371155153676,0.111505988904446,0.25514305564156,0.366649044546006,41724.1796934094,40,1,26,1.6590720554923e-05,0.000252542185197999,8.78744764403171e-06,0,0,0.012414461265041,-0.213426807981875,32.9203198582117,41.390412200797,0.0116810737064458,1.89796727087976,0.000914514964699027
"7",87600,0.327268653726508,0.292930811605962,87923.3720558283,0.62019946533247,7.61848857150525,1.00615517318631,8.62464374469156,0.0861369491286167,0.269343399895987,0.355480349024604,42592.4721422692,40,1,26,1.45612460169218e-05,0.000202492208385631,8.34608397082971e-06,0,0,0.0139277799889691,-0.188169275460692,37.3796268033736,40.6910822589926,0.0117329941170779,2.08031186011942,0.000956477356561943
"8",87600,0.25901906254417,0.325285201632583,74112.3027852381,0.584304264176753,6.06827324359519,1.0932980029863,7.16157124658149,0.0668982132328501,0.299885853096701,0.366784066329551,41155.8193028774,40,1,26,1.41973668383732e-05,0.000174011145152462,8.9120827271177e-06,0,0,0.0148628834759101,-0.189047574960312,38.7289523012242,43.277163064386,0.0115021797326306,2.05799793514106,0.00108547586864547
"9",87600,0.250671554819117,0.285290943826063,65971.399162045,0.53596249864518,5.94051673286299,0.958310329661287,6.89882706252428,0.0624997423993118,0.263033171661194,0.325532914060506,42759.9224745134,40,1,26,1.2534225219062e-05,0.000161338624190356,7.61303798561694e-06,0,0,0.0138772412919862,-0.207873462215931,37.9693316163744,41.964239113777,0.00995397247096957,1.93218882748726,0.000936514981539295
"10",87600,0.282327974303306,0.303769446620235,70235.5664898461,0.586097420923541,6.70553723678643,1.05947830481533,7.76501554160176,0.0699026989834838,0.278777008151609,0.348679707135092,41767.8117847343,40,1,26,1.40322749954968e-05,0.000185909081893531,8.34804822747577e-06,0,0,0.012850054806099,-0.217208019704839,35.1076243025065,43.0812083088442,0.0105620653150048,2.15980447179907,0.0010447163400702
"11",87600,0.235975802607118,0.28506245730178,62820.6364472455,0.521038259908898,5.6009036159909,0.950476987270774,6.55138060326167,0.0585495003869016,0.263056189258159,0.321605689645061,43407.2567324037,40,1,26,1.20034828075173e-05,0.000150928234042743,7.40903051366941e-06,0,0,0.0141085241502287,-0.214545049244385,36.3847634125763,41.6409408813959,0.00984489552484231,2.13066845067371,0.000929529788491859
"12",87600,0.277198920977574,0.298871835653322,86519.515431028,0.576070756630896,6.39710636218192,0.983663424852765,7.38076978703468,0.0748042970435734,0.276224738862932,0.351029035906505,43522.1388758369,40,1,26,1.32362694369032e-05,0.000169586559339169,8.06552814207835e-06,0,0,0.0164724822427401,-0.205011815482874,37.0828389382298,41.8901573902448,0.0118719605774084,1.91552147394521,0.000930419041761574
"13",87600,0.322534522093959,0.305731185927946,84656.4324973764,0.628265708021906,7.55818222346676,1.06860119490421,8.62678341837096,0.0832406750043257,0.280501917338405,0.363742592342731,43112.4606511796,40,1,26,1.45727174587683e-05,0.000200099537072815,8.43706406103217e-06,0,0,0.0135513682890226,-0.19756990027345,35.6388429009886,43.6679441276165,0.0114216178123881,2.20666287905906,0.00102189487733811
